                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.90369,                0.75817,                 1.1516,                0.17879,                0.07064,                0.05588,                0.02138,                 3.2574,                 4.5099,                 3.3872,             0.00079423,             0.00079423,             0.00079423
                     74,                0.89655,                0.75158,                 1.1507,                0.27967,                0.08086,                0.07417,                0.02611,                 3.2142,                 4.3167,                 3.4549,             0.00078983,             0.00078983,             0.00078983
                     75,                 0.8837,                 0.7493,                  1.146,                0.10056,                0.09731,                0.06009,                0.01253,                 3.2468,                 4.5677,                 3.5149,             0.00078543,             0.00078543,             0.00078543
                     76,                0.86015,                0.73712,                 1.1455,                 0.2831,                0.07832,                0.08815,                0.02672,                 3.2468,                 4.4797,                 3.5591,             0.00078103,             0.00078103,             0.00078103
                     77,                0.87802,                0.72035,                 1.1473,                0.38007,                0.06434,                0.04161,                0.00937,                 3.0094,                 4.6827,                 3.2065,             0.00077663,             0.00077663,             0.00077663
                     78,                0.86734,                0.71927,                  1.134,                0.16242,                0.11198,                0.07428,                0.02169,                 3.1486,                 4.2252,                 3.4758,             0.00077223,             0.00077223,             0.00077223
                     79,                0.86244,                0.70788,                 1.1397,                0.51836,                0.07756,                 0.0934,                0.03227,                 3.0389,                 4.1766,                 3.2313,             0.00076783,             0.00076783,             0.00076783
                     80,                0.86599,                0.72566,                   1.14,                0.20176,                0.05408,                0.05792,                0.01064,                  3.122,                 4.9094,                 3.3789,             0.00076343,             0.00076343,             0.00076343
                     81,                0.88354,                0.74978,                 1.1483,                0.06155,                0.04975,                0.04757,                0.02008,                 3.0476,                 5.0527,                 3.1373,             0.00075904,             0.00075904,             0.00075904
                     82,                0.86856,                0.71286,                  1.126,                0.15396,                0.07293,                 0.0591,                0.01535,                 3.0277,                 4.6508,                 3.2548,             0.00075464,             0.00075464,             0.00075464
                     83,                0.84125,                0.70382,                 1.1235,                0.13969,                0.09669,                 0.0636,                0.02403,                 2.8053,                 4.8374,                 3.0382,             0.00075024,             0.00075024,             0.00075024
                     84,                0.87661,                0.71726,                  1.137,                0.08692,                0.07225,                0.03939,                0.00921,                 2.9305,                 4.7841,                 3.2227,             0.00074584,             0.00074584,             0.00074584
                     85,                0.85944,                0.70399,                 1.1328,                0.18634,                0.11554,                0.04933,                0.01499,                 2.8685,                 4.9457,                 3.1763,             0.00074144,             0.00074144,             0.00074144
                     86,                0.83732,                0.68814,                 1.1092,                0.15745,                0.11823,                0.06208,                0.01509,                 3.0722,                  4.455,                 3.5078,             0.00073704,             0.00073704,             0.00073704
                     87,                0.84857,                0.67494,                 1.1175,                0.28033,                0.06878,                0.06098,                 0.0187,                 3.0434,                 4.4741,                 3.3141,             0.00073264,             0.00073264,             0.00073264
                     88,                0.84065,                0.69389,                 1.1134,                0.26989,                0.04955,                0.05615,                0.01858,                 2.7656,                 4.4348,                 2.8462,             0.00072824,             0.00072824,             0.00072824
                     89,                0.83411,                0.69569,                 1.1102,                0.14115,                  0.102,                0.06441,                0.02862,                 2.9917,                 4.3539,                 3.1811,             0.00072384,             0.00072384,             0.00072384
